SMILES,INCHIKEY,dHm
C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,AAAQKTZKLRYKHR-UHFFFAOYSA-N,20.448
CC12COC(OC1)(OC2)C1=CC=CC=C1,AABIHIQZAWJEDT-UHFFFAOYSA-N,20.9
CCC(O)(CC(O)=O)C1=CC=CC=C1,AABQFWMUVKJALN-UHFFFAOYSA-N,35.1691
[H]N(c1nc(SC([H])([H])[H])nc(n1)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],AAEVYOVXGOFMJO-UHFFFAOYSA-N,22.0
[H]OC([H])([H])C1([H])N(C([H])([H])[H])C([H])([H])C([H])(O[H])C([H])(O[H])C1([H])O[H],AAKDPDFZMNYDLR-UHFFFAOYSA-N,27.5
CCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,AALBZAYEBOEAPQ-UHFFFAOYSA-N,19.9
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,AAOVKJBEBIDNHE-UHFFFAOYSA-N,27.2979
[H]Oc1c([H])c(c([H])c(c1C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],AAPOVDIBCPRZPC-UHFFFAOYSA-N,1.36
[H]C1([H])OS(=O)(=O)OC([H])([H])C2([H])C1([H])C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,AAPVQEMYVNZIOO-UHFFFAOYSA-N,21.66
CCCCCCCCCCCCOC1=CC=C(O1)C(O)=O,AAVFFCPJRORQSV-UHFFFAOYSA-N,72.0
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,AAXVEMMRQDVLJB-BULBTXNYSA-N,28.3823
O=CC1=CC=C(CCCCCCCCCCCCC2=CC(C=O)=CS2)S1,ABAKZEKOVUWPQL-UHFFFAOYSA-N,52.9
COC1=CC=CC=C1OC,ABDKAPXRBAPSQN-UHFFFAOYSA-N,16.0531
BrC1=C(C=CC=C1)C(=O)C1=CC=CC=C1,ABEVIHIQUUXDMS-UHFFFAOYSA-N,2.37617
CC1=CC=CC=C1C2=CC=CC=C2C,ABMKWMASVFVTMD-UHFFFAOYSA-N,2.28
C1COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO1,ABSLMPRLCHSSMX-UHFFFAOYSA-N,59.2074
